
###########################################################################################################################################################

                         learning rate: 0.0001,  mlp_hidden_sizes: [1024, 512], batch_size: 32, norm: True, alpha: 10, avg embeddings: False, 
                        crop: 224 resize: 256, use conv: True pretrained: None, seed: 42, angle range: 30, shift range: 32, 
                        train length: 4048, val length: 320, test length: 320, get old path: False, embeddings to use: ['rotated_embeddings', 'original_embeddings'],
                        use_cls: False, frozen layer: 0


Epoch 1/2000: Training Loss: 1.3979304756705218		 Val Loss: 0.7422036170959473
		Training MAE Angle: 0.49000101765309734		 Val MAE Angle: 0.49042587280273436
              Training MSE Angle: 0.3224960687592274		 Val MSE Angle: 0.3240623712539673
		Training MAE Shift: 0.23719409131628322		 Val MAE Shift: 0.15469162464141845
              Training Euclidean Shift: 0.3706497432678703	 Val Euclidean Shift: 0.24388985633850097


Epoch 2/2000: Training Loss: 0.3561265900379091		 Val Loss: 1.005312728881836
		Training MAE Angle: 0.32370268453763223		 Val MAE Angle: 0.2871085643768311
              Training MSE Angle: 0.17449494609682578		 Val MSE Angle: 0.1449916958808899
		Training MAE Shift: 0.09500324819970318		 Val MAE Shift: 0.21363189220428466
              Training Euclidean Shift: 0.14960765087698388	 Val Euclidean Shift: 0.33558669090271


Epoch 3/2000: Training Loss: 0.27136362631489913		 Val Loss: 0.2222592353820801
		Training MAE Angle: 0.18579822450172245		 Val MAE Angle: 0.16359586715698243
              Training MSE Angle: 0.06369900140236681		 Val MSE Angle: 0.054564863443374634
		Training MAE Shift: 0.1003806046613558		 Val MAE Shift: 0.09799075126647949
              Training Euclidean Shift: 0.15864809291569268	 Val Euclidean Shift: 0.15183815956115723


Epoch 4/2000: Training Loss: 0.100374762467512		 Val Loss: 0.11123470067977906
		Training MAE Angle: 0.12090768588809517		 Val MAE Angle: 0.108322274684906
              Training MSE Angle: 0.02852214790704682		 Val MSE Angle: 0.027931565046310426
		Training MAE Shift: 0.06206848489956593		 Val MAE Shift: 0.06008868217468262
              Training Euclidean Shift: 0.09734167264202448	 Val Euclidean Shift: 0.09548003673553467


Epoch 5/2000: Training Loss: 0.19684181814118634		 Val Loss: 0.18504736423492432
		Training MAE Angle: 0.1414393026997724		 Val MAE Angle: 0.1364955186843872
              Training MSE Angle: 0.04229395032867672		 Val MSE Angle: 0.035463768243789676
		Training MAE Shift: 0.08538747021532435		 Val MAE Shift: 0.09286994338035584
              Training Euclidean Shift: 0.13473470192255937	 Val Euclidean Shift: 0.1461725950241089


Epoch 6/2000: Training Loss: 0.11183897904523714		 Val Loss: 0.14120508432388307
		Training MAE Angle: 0.1071441905705009		 Val MAE Angle: 0.1151132583618164
              Training MSE Angle: 0.02411651048134631		 Val MSE Angle: 0.028282350301742552
		Training MAE Shift: 0.06731263859065499		 Val MAE Shift: 0.07809054255485534
              Training Euclidean Shift: 0.10584171925942729	 Val Euclidean Shift: 0.12233546972274781


