
###########################################################################################################################################################

 learning rate: 0.0001, mlp_hidden_sizes: [1024, 512], jump_frames: 6, use_reconstruction_layer: True
batch_size: 8, norm: True, train_seqeunces: [0, 2, 3, 5], val_sequences: [6, 7, 8], RL_TEST_NAMES: ['fe2fadf89a84e92a', 'f01e8b6f8e10fdd9', 'f1ee9dc6135e5307', 'a41df4fa06fd391b', 'bc0ebb7482f14795', '9bdd34e784c04e3a', '98ebee1c36ecec55'], dataset: Sceneflow2Kitti,
average embeddings: False, model: openai/clip-vit-base-patch32, augmentation: True, random crop: True, part: head, get_old_path: False, computer: 1,
RE1 coeff: 0 SED coeff: 0.5, ALG_COEFF: 0, L2_coeff: 1, huber_coeff: 1, frozen layers: 0, trained vit: None, MAX_POOL_SIZE: 3
crop: 224 resize: 256, use conv: True pretrained: None, train_size: 0.002, norm_mean: tensor([0.4815, 0.4578, 0.4082], device='cuda:0'), norm_std: tensor([0.2686, 0.2613, 0.2758], device='cuda:0'), sched: None seed: 300

train size: 32, val size: 24, test size: 1064

algebraic_truth: 0.01724189706146717		 val_algebraic_truth: 0.01761859655380249
RE1_truth: 0.00019616606005001813		 val_RE1_truth: 0.0002048415675138434
SED_truth: 0.001569303683936596		 val_SED_truth: 0.0016387502352396648

Epoch 1/100: Training Loss: 0.13255923986434937		 Val Loss: 0.1357284982999166
             	Training MAE: 0.043926410377025604		 Val MAE: 0.0399482287466526
             	Algebraic dist: 0.2247765213251114		 Val Algebraic dist: 0.2483459711074829
             	RE1 dist: 0.05615977942943573		 Val RE1 dist: 0.04470225175221761
             	SED dist: 0.24864022433757782		 Val SED dist: 0.25787325700124103

Epoch 2/100: Training Loss: 0.22344249486923218		 Val Loss: 0.08087638020515442
             	Training MAE: 0.043650444597005844		 Val MAE: 0.04300224035978317
             	Algebraic dist: 0.29855096340179443		 Val Algebraic dist: 0.18318853775660196
             	RE1 dist: 0.08874286711215973		 Val RE1 dist: 0.026676309605439503
             	SED dist: 0.4255865812301636		 Val SED dist: 0.14587233463923135

Epoch 3/100: Training Loss: 0.23226995766162872		 Val Loss: 0.7638862133026123
             	Training MAE: 0.04873179644346237		 Val MAE: 0.04674293473362923
